Feature,Coefficient
driverId_865.0-num_fast_corners,-0.033805069007562534
driverId_839.0-num_fast_corners,0.7475689408691364
driverId_842.0-num_fast_corners,1.6456872621897687
driverId_807.0-num_fast_corners,-0.0
driverId_4.0-num_fast_corners,-0.017423074708988698
driverId_840.0-num_fast_corners,0.0
driverId_861.0-num_fast_corners,-0.0
driverId_863.0-num_fast_corners,0.0
driverId_859.0-num_fast_corners,0.35450741133368663
driverId_864.0-num_fast_corners,0.547534304006964
prev_construct_points_prop,-0.0
prev_driver_points_prop,-1.3187079286917744
driverId_857.0,-0.0
driverId_846.0,-0.0
driverId_847.0,-0.0
driverId_830.0,-0.0
driverId_848.0,-0.0
driverId_862.0,-0.0
driverId_844.0,-0.0
driverId_1.0,-0.0
driverId_832.0,0.0
driverId_852.0,-0.0
driverId_865.0,0.0
driverId_839.0,0.0
driverId_842.0,-0.0
driverId_807.0,0.0
driverId_4.0,0.0
driverId_840.0,0.0
driverId_861.0,0.0
driverId_863.0,0.0
driverId_859.0,0.0
driverId_864.0,0.0
constructorId_1.0,-0.0
constructorId_131.0,-0.0
constructorId_9.0,-0.0
constructorId_3.0,-0.0
constructorId_6.0,-0.0
constructorId_215.0,0.0
constructorId_210.0,0.0
constructorId_214.0,0.0
constructorId_15.0,0.0
constructorId_117.0,0.0
